Price,Close,High,Low,Open,Volume,SMA20,SMA50,SMA200,EMA12,EMA26,MACD,MACD_signal,MACD_hist,RSI14,golden_cross,death_cross
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,
2023-09-05,187.8599090576172,188.13719185182467,185.79018566129048,186.45368485534252,45280000,,,,187.8599090576172,187.8599090576172,0.0,0.0,0.0,,False,False
2023-09-06,181.13580322265625,187.01818850408822,179.70976859554776,186.57254135003106,81755800,,,,186.82543123685397,187.3618271439164,-0.5363959070624276,-0.10727918141248552,-0.4291167256499421,0.0,False,False
2023-09-07,175.8376922607422,176.48139642487362,171.85668142571674,173.48077306769622,112488800,,,,185.1350098559137,186.50818752294055,-1.3731776670268516,-0.36045887853535874,-1.012718788491493,0.0,False,False
2023-09-08,176.45166015625,178.4916910043361,176.06544373133067,176.62002446653017,65551300,,,,183.79910990211926,185.76325956985238,-1.9641496677331247,-0.681197036374912,-1.2829526313582127,0.708125946300953,False,False
2023-09-11,177.62022399902344,178.5511084974291,175.619813594627,178.3233437087065,58953100,,,,182.84851207087377,185.16007174979097,-2.311559678917206,-1.0072695648833707,-1.3042901140338352,2.1286788874279665,False,False
2023-09-12,174.58990478515625,178.38275585399316,173.12426491742679,177.7489644157226,90370200,,,,181.5779571038403,184.37709641907728,-2.799139315236971,-1.3656435149540909,-1.4334958002828802,2.046896421551949,False,False
2023-09-13,172.52017211914062,175.58019553637163,172.2923922361182,174.79785006313273,84267900,,,,180.18445172157882,183.49880573019306,-3.314354008614231,-1.755385613686119,-1.558968394928112,1.990642364578079,False,False
2023-09-14,174.03533935546875,174.39184798430878,171.89628758242847,172.31221179761187,60895800,,,,179.238434434485,182.7978082209542,-3.559373786469223,-2.1161832482427396,-1.4431905382264834,4.069129623969175,False,False
2023-09-15,173.31240844726562,174.78796097983732,172.13396406629226,174.76815074757482,109259500,,,,178.32673812875893,182.0951860154958,-3.7684478867368796,-2.446636175941568,-1.3218117107953118,4.025266918693646,False,False
2023-09-18,176.2436981201172,177.64002479353724,174.46115503817452,174.76814563074643,67257600,,,,178.00627043512173,181.66174246769,-3.6554720325682695,-2.688403347266908,-0.9670686853013613,8.339681540513382,False,False
2023-09-19,177.3330535888672,177.88761925037375,175.41186889666162,175.79808534740948,51826900,,,,177.90269861262104,181.34109884703648,-3.4384002344154396,-2.8384027246966146,-0.599997509718825,9.959617554216663,False,False
2023-09-20,173.78775024414062,177.95690472942889,173.69861176107497,177.5211703172096,58436200,,,,177.26962963285482,180.78159154311828,-3.511961910263466,-2.973114561809985,-0.5388473484534808,9.378683488446214,False,False
2023-09-21,172.2428741455078,174.5898954535224,172.17356100214752,172.856870429388,63149100,,,,176.49628263480142,180.1490939581101,-3.6528113233086685,-3.109053914109722,-0.5437574091989466,9.128808259817674,False,False
2023-09-22,173.09454345703125,175.36233909077248,172.36173107244514,172.97571228348323,56725400,,,,175.9729381459137,179.62653466173387,-3.653596515820169,-3.217962434451812,-0.43563408136835724,10.543799659452105,False,False
2023-09-25,174.37205505371094,175.25342159707597,172.46076787560256,172.510285906062,46172700,,,,175.72664843942096,179.23731395002847,-3.5106655106075095,-3.2765030496829515,-0.23416246092455806,12.738764018330528,False,False
2023-09-26,170.29202270507812,173.50058556280408,169.99492963397503,173.12428177613603,64588900,,,,174.890552172599,178.57469978373584,-3.6841476111368365,-3.3580319619737287,-0.32611564916310787,11.747380910184361,False,False
2023-09-27,168.77684020996094,171.3615240971404,167.41023633579258,170.94559986493434,66921800,,,,173.9499811014239,177.84893240790066,-3.8989513064767607,-3.466215830874335,-0.43273547560242553,11.392787832461295,False,False
2023-09-28,169.03431701660156,170.36131544966938,165.99408862675534,167.69740591218968,56294400,,,,173.19372508837432,177.1959979344711,-4.002272846096787,-3.5734272339188253,-0.4288456121779616,11.87955774166258,False,False
2023-09-29,169.54925537109375,171.3912138204146,168.6876841683166,170.35139588582132,51861100,,,,172.63303743956192,176.6295725594061,-3.9965351198441965,-3.6580488111038996,-0.33848630874029695,12.910002557687747,False,False
2023-10-02,172.06463623046875,172.6093042881744,169.2719827950215,169.55917827580257,52164500,174.50770797729493,,,172.54559109970143,176.29142912763297,-3.7458380279315406,-3.675606654469428,-0.0702313734621125,17.95688738024775,False,False
2023-10-03,170.72772216796875,171.9458021063211,169.1630613901914,170.58908076573104,49594600,173.6510986328125,,,172.26591895635792,175.87930268617635,-3.6133837298184233,-3.6631620695392275,0.049778339720804254,17.380387792535714,False,False
2023-10-04,171.9755096435547,172.5201776911012,169.31160010164683,169.43043127173715,53020300,173.1930839538574,,,172.22124060054205,175.59013283116735,-3.368892230625306,-3.6043081017564433,0.23541587113113716,19.963123044399197,False,False
2023-10-05,173.21337890625,173.74813426454526,171.00499899742474,172.10423261632292,48527900,173.0618682861328,,,172.37387726295864,175.4140769848772,-3.0401997219185546,-3.491486425788866,0.45128670387031145,22.549776531083594,False,False
2023-10-06,175.7683868408203,176.2635369377298,171.50018031240361,172.11417670790303,57266700,173.02770462036133,,,172.8961095057066,175.44032215939149,-2.5442126536848946,-3.3020316713680717,0.7578190176831772,27.740693320249548,False,False
2023-10-09,177.25381469726562,177.3132302836497,174.09475506108697,175.09495269037185,42390800,173.00938415527344,,,173.56652568902336,175.57465493997475,-2.0081292509513844,-3.0432511872847345,1.0351219363333501,30.65078670035949,False,False
2023-10-10,176.65963745117188,177.97673842144718,176.2239029815132,176.37245706568626,43698000,173.1128707885742,,,174.0423890370462,175.65502401487825,-1.6126349778320446,-2.7571279453941964,1.1444929675621518,30.128108795463987,False,False
2023-10-11,178.05593872070312,178.10545674166264,175.8772817954906,176.4714527146694,47551100,173.38965911865233,,,174.65985821914728,175.83286954864306,-1.173011329495779,-2.440304622214513,1.2672932927187341,33.0187460088906,False,False
2023-10-12,178.9571533203125,180.57133234869775,177.3033387116547,178.32336180549302,56743100,173.63574981689453,,,175.32098054240348,176.06429797617415,-0.7433174337706703,-2.1009071845257443,1.357589750755074,34.89100469444591,False,False
2023-10-13,177.11517333984375,180.1652842541005,176.41205364228972,179.6602366589199,51427100,173.82588806152344,,,175.59701020354814,176.14214059570523,-0.5451303921570911,-1.7897518260520138,1.2446214338949226,32.86874435696788,False,False
2023-10-16,176.98643493652344,177.3429435766639,174.79786506856496,175.03554253225204,52517000,173.86302490234374,,,175.81076785477512,176.20468091724732,-0.39391306247219404,-1.51058407333605,1.116671010863856,32.72597857555779,False,False
2023-10-17,175.43165588378906,176.6893412361662,173.1044597256959,174.93650583601004,57549400,173.76795501708983,,,175.75244293616188,176.1474198036578,-0.3949768674959273,-1.2874626321680256,0.8924857646720983,30.976080616038416,False,False
2023-10-18,174.13436889648438,175.85749653944856,173.4114540423014,173.87689630601963,54764400,173.78528594970703,,,175.50350846851921,175.99830492164497,-0.49479645312575826,-1.1289293963595723,0.6341329432338141,29.555985005809646,False,False
2023-10-19,173.75804138183594,176.11494506219307,173.4906561558451,174.33240207355175,59302900,173.86104431152344,,,175.23497507056794,175.8323594742517,-0.5973844036837477,-1.0226203978244075,0.4252359941406598,29.138659165586176,False,False
2023-10-20,171.20306396484375,173.718419244541,170.96538653172513,173.60948564320893,64244000,173.76647033691407,,,174.61468105430268,175.489448695777,-0.8747676414743353,-0.9930498465543931,0.11828220508005782,26.41196556904309,False,False
2023-10-23,171.3218994140625,172.32209697076135,168.28167117128655,169.25217604772806,55980100,173.61396255493165,,,174.1080992634965,175.18074134157595,-1.07264207807944,-1.0089682928594024,-0.06367378522003753,26.755275805099473,False,False
2023-10-24,171.75767517089844,171.98543999392243,169.78697226342675,171.3714586836915,43816600,173.68724517822267,,,173.74649555694296,174.92718088448873,-1.180685327545774,-1.0433116997966767,-0.13737362774909734,28.08031601296385,False,False
2023-10-25,169.44033813476562,171.38131769667615,168.99469104064445,170.21277093543313,57157000,173.72042007446288,,,173.0840097996849,174.52074808821294,-1.4367382885280335,-1.1219970175429481,-0.3147412709850854,25.444267041665725,False,False
2023-10-26,165.27120971679688,169.71766332219076,164.0630421912472,168.71745038911448,70625300,173.53226470947266,,,171.88204055616367,173.83559709773766,-1.9535565415739882,-1.2883089223491562,-0.665247619224832,21.5285826875389,False,False
2023-10-27,166.58828735351562,167.321114882013,165.2117707914918,165.29099661436564,58499100,173.38421630859375,,,171.0676169865255,173.2987593389064,-2.2311423523808855,-1.4768756083555021,-0.7542667440253834,25.432649399438034,False,False
2023-10-30,168.63819885253906,169.50966778359705,167.23197451155576,167.3805285943209,51131000,173.21289443969727,,,170.6938603505276,172.95353263621251,-2.2596722856849283,-1.6334349438213873,-0.626237341863541,31.172201851878043,False,False
2023-10-31,169.1135711669922,169.24229991901694,166.27139928771217,167.70734668146844,44846000,173.13218688964844,,,170.45073893767596,172.6690910458999,-2.2183521082239395,-1.750418376701898,-0.46793373152204154,32.47030018506027,False,False
2023-11-01,172.28250122070312,172.53997379429074,168.46983997695696,169.34130885799144,56934900,173.14753646850585,,,170.73254851968014,172.640454762552,-1.90790624287186,-1.7819159499358905,-0.12599029293596953,40.52324027086486,False,False
2023-11-02,175.8476104736328,176.05556504970008,173.75807648633753,173.8174920794996,77334800,173.279248046875,,,171.51948112798055,172.8780218522617,-1.3585407242811414,-1.6972409048049406,0.33870018052379924,48.03158181916658,False,False
2023-11-03,174.93649291992188,175.10485722122255,171.66851493448934,172.5498813500308,79829200,173.23765335083007,,,172.04517524981767,173.03050119060688,-0.9853259407892097,-1.5548579120017947,0.569531971212585,46.418795464543386,False,False
